,C1,C4,C5,C6,T2,T5,C3_impute,C7_impute,C3`,C5`,C6`,T1prime,T3prime,T4prime,S1prime,S2prime,S3prime,Y1,Y2
23,91.0,0.03582773310561604,19283332.0,5000000.0,6533.0,384.0,-29.64,0.176,0,3.8566664,0.0,0.6048387096774194,0.9148936170212766,0.058778509107607534,0.008878003979794888,0.00596969233124139,0.00596969233124139,1,0
24,101.0,-0.0017460164572123166,21001943.0,7000000.0,8601.0,473.0,-1.39,3.88,0,3.000277571428571,0.0,0.6996197718631179,0.890942913614696,0.05499360539472154,0.007324729682595047,0.005929543076386466,0.005929543076386466,0,0
25,76.0,-0.003957877372461608,22646381.0,5500000.0,7830.0,453.0,-19.2,2.23,0,4.117523818181819,0.0,0.6023166023166023,0.8982120051085568,0.057854406130268196,0.004597701149425287,0.010855683269476373,0.010855683269476373,1,0
26,488.0,-0.037115500330326075,25909462.0,6000000.0,13534.0,777.0,0.38,94.739,0,4.318243666666667,0.0,0.6753507014028056,0.9295108615339146,0.057410964977094726,0.006723806709029112,0.0065021427515885915,0.0065021427515885915,1,0
27,40.0,0.025763708515827013,71864857.0,30000000.0,15006.0,809.0,-0.41,345.322,0,2.3954952333333335,0.05263157894736842,0.6337760910815939,0.0,0.05391176862588298,0.0030654404904704785,0.012061841929894708,0.012061841929894708,0,1
28,113.0,0.035642375510738435,40403276.0,8696820.0,18484.0,898.0,0.5,428.516,0,4.645752815396892,0.0,0.6801872074882995,0.892447522181346,0.04858255788790305,0.006762605496645748,0.008872538411599221,0.008872538411599221,1,0
29,75.0,-0.015947285678912314,26614227.0,12000000.0,12099.0,626.0,-0.93,18.643,0,2.21785225,0.0,0.6972704714640199,0.9123068022150591,0.051739813207703114,0.008513100256219522,0.008430448797421275,0.008430448797421275,1,0
30,42.0,-0.037115500330326075,35665434.0,9000000.0,16953.0,885.0,0.22,257.056,0,3.962826,0.0,0.6539792387543253,0.8951807939597711,0.05220314988497611,0.004777915413201203,0.00513183507343833,0.00513183507343833,1,0
31,84.0,-0.03446512812118845,55594944.0,8793408.0,16279.0,776.0,-0.49,59.039,0,6.3223432826044235,0.08333333333333333,0.6810176125244618,0.852816512070766,0.04766877572332453,0.004361447263345414,0.006081454634805578,0.006081454634805578,0,1
32,83.0,0.02071500183158597,11150000.0,1950000.0,7154.0,384.0,0.13,38.434,0,5.717948717948718,0.0,0.5319148936170213,0.8800670953312832,0.05367626502655857,0.006569751188146492,0.006569751188146492,0.006569751188146492,1,0
33,412.0,0.08509670457922383,98180520.0,28180501.0,13374.0,748.0,-9.04,68.525,0,3.4839877403173207,0.5428571428571428,0.5671641791044776,0.9222371766113354,0.05592941528338567,0.00493494840735756,0.01114101988933752,0.01114101988933752,0,1
34,29.0,0.016442651117707995,22087485.0,5085985.0,12190.0,677.0,-0.02,185.076,0,4.342813633937182,0.0,0.7061855670103093,0.9093519278096801,0.05553732567678425,0.004593929450369155,0.00951599671862182,0.00951599671862182,0,0
35,94.0,-0.012382727363617861,17048772.0,4687500.0,10135.0,545.0,0.15,40.045,0,3.63707136,0.08108108108108109,0.5825,0.8992599901332018,0.053774050320670945,0.0046373951652688705,0.00680809077454366,0.00680809077454366,0,1
36,133.0,0.05647474671864434,56707490.0,11474528.0,14728.0,841.0,0.0,36.12,0,4.942032474015489,0.35714285714285715,0.6307129798903108,0.9110537751222162,0.05710211841390549,0.004073872895165671,0.010116784356328082,0.010116784356328082,0,1
37,87.0,0.016234824406075828,52212444.0,16000000.0,12754.0,601.0,-0.64,52.897,0,3.26327775,0.02857142857142857,0.6539278131634819,0.898463227222832,0.047122471381527364,0.0050964403324447235,0.006664575819350792,0.006664575819350792,0,1
38,160.0,0.036866889518440776,24181137.0,6535405.0,7738.0,342.0,1.4,519.966,1,3.7000211922596993,0.16666666666666666,0.577639751552795,0.8873093822693202,0.04419746704574826,0.004523132592401137,0.007753941586973378,0.007753941586973378,0,1
39,78.0,0.05699491838087051,25106719.0,6250000.0,17094.0,927.0,0.04,32.068,0,4.01707504,0.03125,0.6485981308411215,0.8725283725283726,0.05422955422955423,0.004563004563004563,0.004914004914004914,0.004914004914004914,0,1
