,C2,C3`,C5,C3_impute,S3prime,Y1,C2,C3`,C4,C5,S3prime,Y2
158,1,1,0.21370710419294495,0.001284357876850434,-0.6679738117083981,1,1,1,-1.6143133940529688,0.21370710419294495,-0.6679738117083981,0
159,1,1,-0.3766436951000805,0.002863933685800223,-0.7977633121069457,0,1,1,0.10462595461762222,-0.3766436951000805,-0.7977633121069457,1
160,1,0,-0.2192112180994049,-0.6486794959898087,0.6645680163307907,0,1,0,-1.1322003266222116,-0.2192112180994049,0.6645680163307907,1
161,1,0,0.7117797147430548,-0.06095092899577126,0.49053587844096436,0,1,0,1.2669996799085854,0.7117797147430548,0.49053587844096436,0
162,1,0,-0.27935463441899305,-0.0016220616116171779,-0.8296873181227069,0,1,0,-0.4084358177303417,-0.27935463441899305,-0.8296873181227069,1
163,0,0,-0.4258223732852546,-0.0014325125145432033,0.546749457465901,1,0,0,-1.329113190609749,-0.4258223732852546,0.546749457465901,0
164,1,1,0.10228886106764747,0.0010316257474184676,-0.44832235208830024,1,1,1,-0.3857091690287425,0.10228886106764747,-0.44832235208830024,0
165,0,0,-0.09920432710179043,-0.007245351491478427,-2.0885535841638063,1,0,0,-1.7498545564439243,-0.09920432710179043,-2.0885535841638063,0
166,1,0,0.017162933774025356,-0.0009270482556792707,-0.05965937808844054,0,1,0,-0.4758992259936713,0.017162933774025356,-0.05965937808844054,1
167,1,1,-0.23038798438588598,0.020239267584247902,-0.30412273124279066,0,1,1,0.7919754366115672,-0.23038798438588598,-0.30412273124279066,0
168,1,0,-0.23889822166833524,-0.001937976773407136,0.2470096164519506,0,1,0,-0.31608214067201285,-0.23889822166833524,0.2470096164519506,0
169,1,0,-0.3312673473512474,-0.11193963610867044,-1.8552674069010113,1,1,0,-2.7079539516084696,-0.3312673473512474,-1.8552674069010113,0
170,1,0,2.7563846802923715,-0.0004215839968153383,1.2488487865973552,1,1,0,-0.3383134718166302,2.7563846802923715,1.2488487865973552,0
171,1,1,0.11377206303222322,0.00027342935912256887,0.22921164480243877,0,1,1,1.2371189427412654,0.11377206303222322,0.22921164480243877,1
172,1,0,-0.15675893278650332,-0.0004215839968153383,-0.20611099823551773,0,1,0,0.5437001436234395,-0.15675893278650332,-0.20611099823551773,1
173,1,1,-0.005433302759229939,0.0007788936179865014,-0.6403820091537312,0,1,1,-0.3857091690287425,-0.005433302759229939,-0.6403820091537312,1
174,1,1,0.44946253402280545,0.002548018524010265,-0.25491504358126227,0,1,1,0.3846959164518804,0.44946253402280545,-0.25491504358126227,1
175,1,0,-0.23565732964109906,-0.0055394096178126555,-0.13341111667194908,0,1,0,-1.8191654501807466,-0.23565732964109906,-0.13341111667194908,0
176,1,0,-0.2254396683385543,-0.0010534143203952539,2.954660259686341,0,1,0,-1.345607668408004,-0.2254396683385543,2.954660259686341,0
177,1,0,0.30345594690481414,-0.0004215839968153383,0.4630522693571938,0,1,0,0.20303846191972386,0.30345594690481414,0.4630522693571938,1
178,0,1,-0.4019676320867855,0.006212634400773776,-1.3119995287099804,1,0,1,0.4759654723985367,-0.4019676320867855,-1.3119995287099804,0
179,1,1,-0.3347740710965089,0.07615625122107042,-0.6823003172040399,0,1,1,1.5106264740860964,-0.3347740710965089,-0.6823003172040399,1
180,1,1,0.6678389948192055,0.000968442715060476,0.17679195545163032,0,1,1,-0.22505508962942722,0.6678389948192055,0.17679195545163032,1
181,1,1,0.35523389489533436,0.7640931075348826,0.3822883202259726,1,1,1,1.5390577165387938,0.35523389489533436,0.3822883202259726,0
182,1,0,0.17723480093386623,-0.0011165973527532457,-0.3452393011018414,1,1,0,-0.809018944332663,0.17723480093386623,-0.3452393011018414,0
183,1,1,0.3364575218956102,0.0032430318799481716,-1.108331202675616,0,1,1,0.24645000458443755,0.3364575218956102,-1.108331202675616,1
184,1,0,-0.3102902055788522,-0.021903814998532466,0.9025980565999318,1,1,0,0.4869068822966146,-0.3102902055788522,0.9025980565999318,0
185,0,0,-0.29575432924313944,-0.07352435243501158,-0.7805602732390038,1,0,0,-0.36410837184632755,-0.29575432924313944,-0.7805602732390038,0
186,1,0,-0.07678610508100175,-0.0013630111789494125,-0.8963355102794445,0,1,0,-0.013199134652883126,-0.07678610508100175,-0.8963355102794445,1
187,0,1,-0.34957657567818856,0.005833536206625826,-1.0737264978368728,0,0,1,1.1032173189578574,-0.34957657567818856,-1.0737264978368728,1
188,1,0,-0.2492857141069945,-0.6347792288710506,4.933256759146298,1,1,0,-0.23816549302230214,-0.2492857141069945,4.933256759146298,0
189,1,1,-0.3848728149140066,0.0064021834978477505,-0.3921314840316176,1,1,1,1.1408144792017019,-0.3848728149140066,-0.3921314840316176,0
