,C2,C3`,C1,C4,C5,C6,C3_impute,C7_impute,C5`,T1prime,T2prime,T3prime,T4prime,T5prime,S1prime,S2prime,S3prime,I3_bin,Y1
40,1,1,-1.1018176756874203,-0.08272649188175396,2.98515639454526,4.890769957954223,0.11419224267671224,3.0491654644334965,-0.5812371000512184,1.7764744377444273,0.09139130135677107,-0.6513059980072672,-1.5348706077156018,0.09139130135677107,-0.2737449268793032,-0.2531284800271205,-1.6091643486003724,3,-1.0
41,1,1,-0.21923666082505228,-0.8334345908812617,-0.47608849908163137,-0.30495592942577043,0.1347293686566748,-0.4124637092311636,-0.7074960604494406,-0.43843524664441275,-0.8829373456225643,-0.44161320910783175,0.33677747746873493,-0.8829373456225643,-0.8896873674903603,-0.1507664843234456,0.1544231426620408,1,1.0
42,1,1,-0.9413484002578988,0.6654877405506696,-0.4705617672893668,-0.23917144903284343,0.09905962353358191,0.24164989117167812,-0.8009363143535362,0.5495093383709254,-0.4283970398915508,0.9711380447966126,-0.6046013866053005,-0.4283970398915508,0.36263741967375657,1.8219170965513982,0.9473935189293979,2,-1.0
43,1,0,-0.2816413790476439,-0.42012625669843856,-0.05178762828233975,0.14369438000032342,0.09581691943148257,-0.34164551584414776,-0.42382406304080966,-0.8442402687150948,0.5820875438286351,0.326949200978381,0.7890166033075342,0.5820875438286351,0.6044436807040496,0.7593794387833785,-0.03090907633720215,3,1.0
44,1,0,0.11061684978007515,-0.24936586765077365,-0.2699180111029993,-0.3684838696696432,0.09545661897569375,-0.38548196590106526,0.13807379164592123,0.4264779026971011,-0.38878371455801947,-2.288774367392415,-0.49805228631831433,-0.38878371455801947,-1.2220929167423198,-0.01563122605235002,-0.11185609697508818,3,1.0
45,1,0,0.6990041930216537,-0.37211056725870567,-0.5489078956633766,-0.5470429404203384,0.04465425470947056,-0.34164551584414776,-0.34370713275751064,0.10314375720941102,1.4144653039565844,-0.3886643946091816,-0.20440091361726073,1.4144653039565844,-0.49727976724532036,0.08661363897517074,0.492469618233481,2,1.0
46,1,0,-0.3707909765084892,0.6366770696774804,0.5357007788562389,-0.2786421530568812,0.0900521121388615,-0.38237151062316876,2.257094774417067,0.856591310668774,-0.39589018655739866,0.8317470127356199,-0.8590145444334116,-0.39589018655739866,-0.745952533674054,-0.8051520382739513,-1.3725933520372726,2,-1.0
47,1,0,-0.9324334405118142,-0.14208524652109952,-0.2333304385960054,-0.3417952794953418,0.059786873852600876,-0.34164551584414776,0.1671775149151279,-2.3390102554855794,0.7661250877613367,1.2636142881589982,2.925569353672331,0.7661250877613367,0.23660241725624334,0.9613661319729636,1.3168281340785513,2,1.0
48,1,0,-0.24598154006330583,-0.9084354956904757,-0.2003065110308693,-0.1760183225943829,-0.23277709624791848,-0.3806217339087865,-0.19665962586313607,-0.2724692376607668,0.7198834209544857,0.10295188666240987,0.16384909830473218,0.7198834209544857,1.4577808392446594,3.1190021370127385,2.337750880846412,2,1.0
49,1,0,-0.47777049346150346,0.8309854167583932,-0.2578996268297255,-0.4138830734380915,0.08536820621360688,-0.37851547805019586,0.3625632183132346,-0.11901578063816916,0.24492039266619522,-0.01570465738331928,0.009667447789426449,0.24492039266619522,-1.1065953724593665,-0.903185620770788,0.029853307243403973,3,-1.0
